  lat     long      exx        eyy        exy      var(exx)   var(eyy)   var(exy)  cc_xx_yy  cc_xx_xy  cc_yy_xy
-62.750 -162.300  0.104E+03  0.334E+03 -0.344E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -161.700 -0.372E+02  0.416E+03 -0.285E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -161.100 -0.263E+03  0.576E+03 -0.245E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -160.500  0.271E+02  0.690E+03 -0.477E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -159.900 -0.455E-12  0.685E+03 -0.447E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -159.300 -0.455E-12  0.683E+03 -0.450E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -158.700 -0.568E-12  0.680E+03 -0.453E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -158.100 -0.150E+03  0.619E+03 -0.347E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -157.500  0.262E+02  0.536E+03 -0.404E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -156.900  0.410E+03  0.572E+03 -0.582E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.750 -156.300  0.564E+03  0.785E+02 -0.226E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  153.300  0.496E+02  0.863E+01  0.167E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  153.900 -0.161E+02  0.150E+03  0.945E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  154.500 -0.158E+03  0.419E+03  0.199E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  155.100 -0.335E+03  0.642E+03  0.306E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  155.700 -0.118E+03  0.260E+03  0.189E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  157.500  0.242E+03  0.201E+03 -0.248E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  158.100  0.913E+02  0.893E+03 -0.433E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  158.700  0.991E+02  0.910E+03 -0.380E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  159.300 -0.191E+02  0.564E+03 -0.166E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  159.900  0.545E+02  0.431E+03 -0.159E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  160.500  0.221E+03  0.169E+03 -0.182E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  162.900 -0.147E+03  0.129E+03  0.740E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  163.500 -0.310E+03  0.545E+03 -0.349E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  164.100 -0.341E-12  0.666E+03 -0.259E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  164.700 -0.341E-12  0.669E+03 -0.262E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  165.300 -0.213E+03  0.583E+03 -0.108E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  165.900 -0.635E+02  0.409E+03 -0.124E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  166.500 -0.356E+02  0.350E+03 -0.105E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  167.100 -0.599E+02  0.266E+03 -0.573E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  167.700 -0.543E+02  0.153E+03 -0.264E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250  168.300 -0.550E+02  0.363E+02 -0.339E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250 -162.900  0.156E+03  0.118E+03 -0.151E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250 -162.300 -0.449E+02  0.358E+03 -0.114E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250 -161.700 -0.867E+02  0.274E+03 -0.344E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250 -161.100 -0.302E+02  0.752E+02  0.308E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250 -156.900  0.545E+03  0.770E+02 -0.222E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250 -156.300  0.295E+03  0.593E+03 -0.549E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250 -155.700 -0.455E-12  0.669E+03 -0.475E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250 -155.100 -0.568E-12  0.666E+03 -0.478E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-62.250 -154.500  0.863E+03  0.332E+03 -0.537E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  153.300 -0.450E+02  0.126E+03  0.133E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  153.900 -0.166E+03  0.377E+03  0.190E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  154.500 -0.209E+03  0.414E+03  0.237E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  155.100 -0.119E+03  0.159E+03  0.193E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  158.700  0.234E+03  0.171E+03 -0.190E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  159.300  0.273E+02  0.511E+03 -0.173E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  159.900 -0.914E+02  0.638E+03 -0.139E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  160.500  0.243E+03  0.697E+03 -0.566E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  161.100 -0.139E+03  0.633E+03 -0.193E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  161.700 -0.171E-12  0.655E+03 -0.253E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  162.300 -0.341E-12  0.658E+03 -0.256E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  162.900 -0.311E+03  0.532E+03 -0.298E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  163.500 -0.145E+03  0.119E+03  0.638E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750 -154.500  0.855E+03  0.331E+03 -0.536E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750 -153.900  0.864E+03  0.331E+03 -0.535E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  -56.100 -0.661E+02  0.837E+01 -0.116E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  -55.500  0.812E+01  0.302E+02 -0.432E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.750  -54.900  0.583E+02  0.995E+01 -0.258E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  152.700 -0.513E+02  0.184E+03  0.136E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  153.300 -0.251E+03  0.509E+03  0.263E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  153.900 -0.144E+03  0.383E+03  0.193E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  154.500 -0.102E+03  0.209E+03  0.181E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  155.100  0.444E+02  0.246E+02  0.295E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  160.500 -0.203E+02  0.693E+02 -0.282E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  161.100 -0.154E+03  0.480E+02 -0.622E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250 -153.900  0.856E+03  0.330E+03 -0.534E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250 -153.300  0.865E+03  0.329E+03 -0.534E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -57.300 -0.742E+01 -0.398E+01 -0.560E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -56.700 -0.188E+02  0.565E+01 -0.115E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -56.100 -0.119E+03  0.225E+02  0.147E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -55.500  0.363E+02 -0.946E+01  0.446E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -54.900  0.643E+02  0.453E+01 -0.225E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -54.300  0.630E+01  0.233E+02 -0.303E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -53.700  0.646E+01  0.276E+02 -0.306E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -53.100  0.114E+02  0.261E+02 -0.265E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -52.500  0.140E+02  0.221E+02 -0.203E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -51.900  0.748E+01  0.786E+01 -0.101E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -38.100  0.422E+01  0.236E+02  0.159E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -37.500  0.906E+00  0.472E+02 -0.928E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -36.900 -0.137E+01  0.458E+02 -0.906E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -36.300  0.880E+00  0.460E+02 -0.108E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -35.700  0.751E+00  0.424E+02 -0.117E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -35.100  0.158E+01  0.276E+02 -0.817E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -34.500 -0.386E+00  0.277E+02 -0.363E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -33.900 -0.488E+01  0.138E+02 -0.104E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -26.700 -0.743E+01 -0.111E+01 -0.408E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -26.100 -0.437E+01 -0.184E+00 -0.820E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -25.500 -0.253E+01  0.148E+01 -0.108E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -24.900 -0.151E+01  0.337E+01 -0.123E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -24.300 -0.163E+01  0.604E+01 -0.131E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -23.700 -0.168E+01  0.846E+01 -0.147E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -23.100 -0.117E+01  0.968E+01 -0.159E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -22.500 -0.441E-02  0.103E+02 -0.169E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -21.900  0.159E+01  0.917E+01 -0.165E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -21.300  0.344E+01  0.815E+01 -0.147E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -20.700  0.503E+01  0.807E+01 -0.118E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -20.100  0.554E+01  0.817E+01 -0.757E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-61.250  -19.500  0.519E+01  0.417E+01 -0.537E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
