lat,long,exx,eyy,exy,var_exx,var_eyy,var_exy,cc_xx_yy,cc_xx_xy,cc_yy_xy
-62.75,171.9,1.96E+01,-8.20E+00,1.54E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,172.5,-1.93E+01,-1.41E+00,-2.36E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-165.9,7.53E+02,3.50E+02,-5.27E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-165.3,-3.41E-13,7.00E+02,-4.18E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-164.7,-4.55E-13,6.98E+02,-4.21E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-164.1,-1.06E+02,5.75E+02,-2.75E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-163.5,1.09E+02,5.88E+02,-5.39E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-162.9,1.61E+02,5.76E+02,-5.57E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-162.3,1.04E+02,3.34E+02,-3.44E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-161.7,-3.72E+01,4.16E+02,-2.85E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-161.1,-2.63E+02,5.76E+02,-2.45E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-160.5,2.71E+01,6.90E+02,-4.77E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-159.9,-4.55E-13,6.85E+02,-4.47E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-159.3,-4.55E-13,6.83E+02,-4.50E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-158.7,-5.68E-13,6.80E+02,-4.53E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-158.1,-1.50E+02,6.19E+02,-3.47E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-157.5,2.62E+01,5.36E+02,-4.04E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-156.9,4.10E+02,5.72E+02,-5.82E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.75,-156.3,5.64E+02,7.85E+01,-2.26E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,153.3,4.96E+01,8.63E+00,1.67E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,153.9,-1.61E+01,1.50E+02,9.45E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,154.5,-1.58E+02,4.19E+02,1.99E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,155.1,-3.35E+02,6.42E+02,3.06E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,155.7,-1.18E+02,2.60E+02,1.89E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,157.5,2.42E+02,2.01E+02,-2.48E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,158.1,9.13E+01,8.93E+02,-4.33E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,158.7,9.91E+01,9.10E+02,-3.80E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,159.3,-1.91E+01,5.64E+02,-1.66E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,159.9,5.45E+01,4.31E+02,-1.59E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,160.5,2.21E+02,1.69E+02,-1.82E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,162.9,-1.47E+02,1.29E+02,7.40E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,163.5,-3.10E+02,5.45E+02,-3.49E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,164.1,-3.41E-13,6.66E+02,-2.59E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,164.7,-3.41E-13,6.69E+02,-2.62E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,165.3,-2.13E+02,5.83E+02,-1.08E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,165.9,-6.35E+01,4.09E+02,-1.24E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,166.5,-3.56E+01,3.50E+02,-1.05E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,167.1,-5.99E+01,2.66E+02,-5.73E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,167.7,-5.43E+01,1.53E+02,-2.64E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,168.3,-5.50E+01,3.63E+01,-3.39E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,-162.9,1.56E+02,1.18E+02,-1.51E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,-162.3,-4.49E+01,3.58E+02,-1.14E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,-161.7,-8.67E+01,2.74E+02,-3.44E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,-161.1,-3.02E+01,7.52E+01,3.08E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,-156.9,5.45E+02,7.70E+01,-2.22E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,-156.3,2.95E+02,5.93E+02,-5.49E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,-155.7,-4.55E-13,6.69E+02,-4.75E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,-155.1,-5.68E-13,6.66E+02,-4.78E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-62.25,-154.5,8.63E+02,3.32E+02,-5.37E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,153.3,-4.50E+01,1.26E+02,1.33E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,153.9,-1.66E+02,3.77E+02,1.90E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,154.5,-2.09E+02,4.14E+02,2.37E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,155.1,-1.19E+02,1.59E+02,1.93E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,158.7,2.34E+02,1.71E+02,-1.90E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,159.3,2.73E+01,5.11E+02,-1.73E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,159.9,-9.14E+01,6.38E+02,-1.39E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,160.5,2.43E+02,6.97E+02,-5.66E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,161.1,-1.39E+02,6.33E+02,-1.93E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,161.7,-1.71E-13,6.55E+02,-2.53E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,162.3,-3.41E-13,6.58E+02,-2.56E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,162.9,-3.11E+02,5.32E+02,-2.98E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,163.5,-1.45E+02,1.19E+02,6.38E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,-154.5,8.55E+02,3.31E+02,-5.36E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,-153.9,8.64E+02,3.31E+02,-5.35E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,-56.1,-6.61E+01,8.37E+00,-1.16E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-61.75,-55.5,8.12E+00,3.02E+01,-4.32E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
